q_freq,a_freq,freq_mean,freq_cross,q_freq_sq,a_freq_sq
12,12,12.0,144,144,144
4,4,4.0,16,16,16
8,8,8.0,64,64,64
8,8,8.0,64,64,64
12,12,12.0,144,144,144
4,4,4.0,16,16,16
2,2,2.0,4,4,4
12,12,12.0,144,144,144
2,2,2.0,4,4,4
4,4,4.0,16,16,16
8,8,8.0,64,64,64
2,2,2.0,4,4,4
2,2,2.0,4,4,4
6,6,6.0,36,36,36
4,4,4.0,16,16,16
2,2,2.0,4,4,4
6,6,6.0,36,36,36
6,6,6.0,36,36,36
4,4,4.0,16,16,16
6,6,6.0,36,36,36
6,6,6.0,36,36,36
2,2,2.0,4,4,4
4,4,4.0,16,16,16
8,8,8.0,64,64,64
4,4,4.0,16,16,16
2,2,2.0,4,4,4
8,8,8.0,64,64,64
4,4,4.0,16,16,16
20,20,20.0,400,400,400
4,4,4.0,16,16,16
22,22,22.0,484,484,484
4,4,4.0,16,16,16
22,22,22.0,484,484,484
4,4,4.0,16,16,16
10,10,10.0,100,100,100
4,4,4.0,16,16,16
6,6,6.0,36,36,36
2,2,2.0,4,4,4
8,8,8.0,64,64,64
4,4,4.0,16,16,16
8,8,8.0,64,64,64
2,2,2.0,4,4,4
4,4,4.0,16,16,16
2,2,2.0,4,4,4
8,8,8.0,64,64,64
4,4,4.0,16,16,16
4,4,4.0,16,16,16
2,2,2.0,4,4,4
4,4,4.0,16,16,16
2,2,2.0,4,4,4
2,2,2.0,4,4,4
2,2,2.0,4,4,4
4,4,4.0,16,16,16
6,6,6.0,36,36,36
6,6,6.0,36,36,36
36,36,36.0,1296,1296,1296
2,2,2.0,4,4,4
8,8,8.0,64,64,64
2,2,2.0,4,4,4
2,2,2.0,4,4,4
2,2,2.0,4,4,4
14,14,14.0,196,196,196
2,2,2.0,4,4,4
14,14,14.0,196,196,196
2,2,2.0,4,4,4
4,4,4.0,16,16,16
2,2,2.0,4,4,4
12,12,12.0,144,144,144
18,18,18.0,324,324,324
4,4,4.0,16,16,16
2,2,2.0,4,4,4
4,4,4.0,16,16,16
2,2,2.0,4,4,4
2,2,2.0,4,4,4
6,6,6.0,36,36,36
2,2,2.0,4,4,4
10,10,10.0,100,100,100
2,2,2.0,4,4,4
2,2,2.0,4,4,4
8,8,8.0,64,64,64
2,2,2.0,4,4,4
8,8,8.0,64,64,64
42,42,42.0,1764,1764,1764
2,2,2.0,4,4,4
2,2,2.0,4,4,4
2,2,2.0,4,4,4
12,12,12.0,144,144,144
2,2,2.0,4,4,4
4,4,4.0,16,16,16
4,4,4.0,16,16,16
2,2,2.0,4,4,4
10,10,10.0,100,100,100
2,2,2.0,4,4,4
12,12,12.0,144,144,144
4,4,4.0,16,16,16
6,6,6.0,36,36,36
4,4,4.0,16,16,16
4,4,4.0,16,16,16
4,4,4.0,16,16,16
4,4,4.0,16,16,16
10,10,10.0,100,100,100
4,4,4.0,16,16,16
4,4,4.0,16,16,16
6,6,6.0,36,36,36
14,14,14.0,196,196,196
2,2,2.0,4,4,4
4,4,4.0,16,16,16
2,2,2.0,4,4,4
2,2,2.0,4,4,4
2,2,2.0,4,4,4
4,4,4.0,16,16,16
4,4,4.0,16,16,16
2,2,2.0,4,4,4
2,2,2.0,4,4,4
12,12,12.0,144,144,144
4,4,4.0,16,16,16
8,8,8.0,64,64,64
2,2,2.0,4,4,4
42,42,42.0,1764,1764,1764
4,4,4.0,16,16,16
12,12,12.0,144,144,144
4,4,4.0,16,16,16
2,2,2.0,4,4,4
2,2,2.0,4,4,4
28,28,28.0,784,784,784
2,2,2.0,4,4,4
6,6,6.0,36,36,36
6,6,6.0,36,36,36
4,4,4.0,16,16,16
8,8,8.0,64,64,64
4,4,4.0,16,16,16
8,8,8.0,64,64,64
4,4,4.0,16,16,16
2,2,2.0,4,4,4
4,4,4.0,16,16,16
2,2,2.0,4,4,4
6,6,6.0,36,36,36
4,4,4.0,16,16,16
8,8,8.0,64,64,64
6,6,6.0,36,36,36
8,8,8.0,64,64,64
6,6,6.0,36,36,36
2,2,2.0,4,4,4
14,14,14.0,196,196,196
2,2,2.0,4,4,4
10,10,10.0,100,100,100
2,2,2.0,4,4,4
14,14,14.0,196,196,196
4,4,4.0,16,16,16
2,2,2.0,4,4,4
6,6,6.0,36,36,36
4,4,4.0,16,16,16
2,2,2.0,4,4,4
16,16,16.0,256,256,256
6,6,6.0,36,36,36
2,2,2.0,4,4,4
14,14,14.0,196,196,196
10,10,10.0,100,100,100
6,6,6.0,36,36,36
2,2,2.0,4,4,4
8,8,8.0,64,64,64
10,10,10.0,100,100,100
4,4,4.0,16,16,16
52,52,52.0,2704,2704,2704
6,6,6.0,36,36,36
2,2,2.0,4,4,4
4,4,4.0,16,16,16
16,16,16.0,256,256,256
2,2,2.0,4,4,4
2,2,2.0,4,4,4
16,16,16.0,256,256,256
2,2,2.0,4,4,4
16,16,16.0,256,256,256
